,character,character_HTML,pinyin_HTML,english_gloss,example1,example2,example3,example4,example5,chinese_sentence_HTML,english_translation,pinyin_sentence,stroke_order_image,char_set_number,audio_full_path,pinyin,pinyin_nfd,tone
425,适,"<span class=""tone4"">适</span>","<span class=""tone4"">shì</span><!--shi-->",suitable,"<span class=""tone2"">合</span><span class=""tone4"">适</span>{{c1:: － <span class=""tone2"">hé</span><span class=""tone4"">shì</span> － appropriate}}","<span class=""tone4"">适</span><span class=""tone2"">合</span>{{c1:: － <span class=""tone4"">shì</span><span class=""tone2"">hé</span> － to suit; to fit}}","<span class=""tone4"">适</span><span class=""tone4"">当</span>{{c1:: － <span class=""tone4"">shì</span><span class=""tone4"">dàng</span> － suitable; appropriate}}","<span class=""tone4"">适</span><span class=""tone4"">用</span>{{c1:: － <span class=""tone4"">shì</span><span class=""tone4"">yòng</span> － applicable}}",,"这座城市很<span class=""highlight"">适</span>宜居住。",This city is suitable for living.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36866.gif"" alt=""适""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-7ea21cc5-2bbbcf26-3c33b32c-e122b314-4f84a1d5.wav,shì,shì,Tone 4 ( ̀)
426,活,"<span class=""tone2"">活</span>","<span class=""tone2"">huó</span><!--huo-->",alive; to live,"<span class=""tone2"">活</span><span class=""tone5"">儿</span>{{c1:: － <span class=""tone2"">huó</span><span class=""tone5"">r5</span> － manual work; job}}","<span class=""tone2"">活</span><span class=""tone4"">动</span>{{c1:: － <span class=""tone2"">huó</span><span class=""tone4"">dòng</span> － activity (physical)}}","<span class=""tone1"">生</span><span class=""tone2"">活</span>{{c1:: － <span class=""tone1"">shēng</span><span class=""tone2"">huó</span> － a life; to live a life}}",,,"北极熊生<span class=""highlight"">活</span>在北极。",Polar bears live at the North Pole.,Běi jí xióng shēng huó zài Běi jí.<!--Bei ji xiong sheng huo zai Bei ji.-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27963.gif"" alt=""活""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-e642b3a5-0495d6c9-06605ca3-c85537c9-7cb39b73.wav,huó,huó,Tone 2 ( ́)
427,术,"<span class=""tone4"">术</span>","<span class=""tone4"">shù</span><!--shu-->",craft,"<span class=""tone4"">艺</span><span class=""tone4"">术</span>{{c1:: － <span class=""tone4"">yì</span><span class=""tone4"">shù</span> － art}}","<span class=""tone3"">手</span><span class=""tone4"">术</span>{{c1:: － <span class=""tone3"">shǒu</span><span class=""tone4"">shù</span> － operation}}","<span class=""tone3"">属</span><span class=""tone2"">于</span>{{c1:: － <span class=""tone3"">shǔ</span><span class=""tone2"">yú</span> － terminology; technical terms}}","<span class=""tone4"">技</span><span class=""tone4"">术</span>{{c1:: － <span class=""tone4"">jì</span><span class=""tone4"">shù</span> － technology}}",,"我买了一套艺<span class=""highlight"">术</span>品。",I bought a set of artworks.,Wǒ mǎile yī tào yìshùpǐn.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26415.gif"" alt=""术""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-3e396d6b-7c7f1945-c6bb7904-78b75be2-5bd09324.wav,shù,shù,Tone 4 ( ̀)
428,支,"<span class=""tone1"">支</span>","<span class=""tone1"">zhī</span><!--zhi-->",branch; to prop up; support; {MW} Long thin objects,"<span class=""tone1"">一</span><span class=""tone1"">支</span><span class=""tone3"">笔</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone1"">zhī</span><span class=""tone3"">bǐ</span> － one pen}}",,,,,"家人给予我极大的<span class=""highlight"">支</span>持。",My family has given me enormous support.,Jiārén jǐyǔ wǒ jídà de zhīchí.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25903.gif"" alt=""支""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-ac862054-02f76ec9-40911da4-bbdf25cd-3b65f415.wav,zhī,zhī,Tone 1 ( ̄)
429,技,"<span class=""tone4"">技</span>","<span class=""tone4"">jì</span><!--ji-->",skill,"<span class=""tone4"">技</span><span class=""tone4"">术</span>{{c1:: － <span class=""tone4"">jì</span><span class=""tone4"">shù</span> － technology; skill; technique}}",,,,,"他的<span class=""highlight"">技</span>术很全面。",He has all-around skills.,Tā de jìshù hěn quánmiàn.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25216.gif"" alt=""技""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-a03da494-c1fad5ad-c03b5d95-fa3e86c6-0495e6cd.wav,jì,jì,Tone 4 ( ̀)
430,等,"<span class=""tone3"">等</span>","<span class=""tone3"">děng</span><!--deng-->",to wait; equal; rank; and so forth,"<span class=""tone2"">男</span><span class=""tone3"">女</span><span class=""tone2"">平</span><span class=""tone3"">等</span>{{c1:: － <span class=""tone2"">nán</span><span class=""tone3"">nǚ</span><span class=""tone2"">píng</span><span class=""tone3"">děng</span> － gender equality}}","<span class=""tone3"">久</span><span class=""tone3"">等</span>{{c1:: － <span class=""tone3"">jiǔ</span><span class=""tone3"">děng</span> － to wait for a long time}}",,,,"我在办公室<span class=""highlight"">等</span>你。",I will wait for you in my office.,wǒ zài bàn gōng shì děng nǐ 。<!--wo zai ban gong shi deng ni 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31561.gif"" alt=""等""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-f073db84-dded7060-afee6376-3ffcc851-7635d852.wav,děng,děng,Tone 3 ( ̌)
431,持,"<span class=""tone2"">持</span>","<span class=""tone2"">chí</span><!--chi-->",to hold/grasp; to support/maintain; to manage/run,"<span class=""tone1"">支</span><span class=""tone2"">持</span>{{c1:: － <span class=""tone1"">zhī</span><span class=""tone2"">chí</span> － to support}}","<span class=""tone3"">保</span><span class=""tone2"">持</span>{{c1:: － <span class=""tone3"">bǎo</span><span class=""tone2"">chí</span> － to keep; to maintain; to preserve}}","<span class=""tone2"">维</span><span class=""tone2"">持</span>{{c1:: － <span class=""tone2"">wéi</span><span class=""tone2"">chí</span> － to keep; to maintain; to preserve}}","<span class=""tone2"">持</span><span class=""tone3"">有</span>{{c1:: － <span class=""tone2"">chí</span><span class=""tone3"">yǒu</span> － to hold}}",,"警察维<span class=""highlight"">持</span>社会治安。",Police maintain the social order.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25345.gif"" alt=""持""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-3677d42b-ab43a22e-6ea69200-f23f67c6-69cdd0c1.wav,chí,chí,Tone 2 ( ́)
432,特,"<span class=""tone4"">特</span>","<span class=""tone4"">tè</span><!--te-->",special,"<span class=""tone4"">特</span><span class=""tone2"">别</span>{{c1:: － <span class=""tone4"">tè</span><span class=""tone2"">bié</span> － especially; special}}","<span class=""tone2"">独</span><span class=""tone4"">特</span>{{c1:: － <span class=""tone2"">dú</span><span class=""tone4"">tè</span> － unique; distinct}}","<span class=""tone4"">特</span><span class=""tone3"">点</span>{{c1:: － <span class=""tone4"">tè</span><span class=""tone3"">diǎn</span> － characteristic; trait}}",,,"今天的工作<span class=""highlight"">特</span>别累。",Work was really tiring today.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/29305.gif"" alt=""特""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-35d8464b-af997f88-c42fa9e7-017d2d42-48ecb8d4.wav,tè,tè,Tone 4 ( ̀)
433,义,"<span class=""tone4"">义</span>","<span class=""tone4"">yì</span><!--yi-->",just (proper); significance,"<span class=""tone4"">意</span><span class=""tone4"">义</span>{{c1:: － <span class=""tone4"">yì</span><span class=""tone4"">yì</span> － significance}}",,,,,"法律维护正<span class=""highlight"">义</span>。",The law upholds justice.,Fǎlǜ wéihù zhèngyì.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20041.gif"" alt=""义"" style=""width:75px;height:75px;"">",26 CharSet,data/sounds/oddcast-d43193a3-90bbf2c4-b5309d7b-9d628f12-b5708af9.wav,yì,yì,Tone 4 ( ̀)
434,风,"<span class=""tone1"">风</span>","<span class=""tone1"">fēng</span><!--feng-->",wind,"<span class=""tone1"">风</span><span class=""tone4"">力</span>{{c1:: － <span class=""tone1"">fēng</span><span class=""tone4"">lì</span> － wind power; wind force}}",,,,,"花在<span class=""highlight"">风</span>中摇摆。",The flower is waving in the wind.,Huā zài fēng zhōng yáobǎi.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39118.gif"" alt=""风""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-7277719b-83b202ad-2cc51b1a-0bed76e3-5e0089e2.wav,fēng,fēng,Tone 1 ( ̄)
435,数,"<span class=""tone4"">数 </span>/<span class=""tone3""> 数</span>","<span class=""tone4"">shù</span> / <span class=""tone3""> shǔ</span><!--shu / to count-->",number / to count,"<span class=""tone4"">数</span><span class=""tone2"">学</span>{{c1:: － <span class=""tone4"">shù</span><span class=""tone2"">xué</span> － mathematics}}","<span class=""tone3"">少</span><span class=""tone4"">数</span>{{c1:: － <span class=""tone3"">shǎo</span><span class=""tone4"">shù</span> － minority}}",,,,"我能从一<span class=""highlight"">数</span>到十。",I can count from one to ten.,Wǒ néng cóng yī shǔ dào shí.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25968.gif"" alt=""数""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-c57d0f93-7e51f0ea-6f295c46-f4a2f719-debc787f.wav,shù,shù,Tone 4 ( ̀)
436,楼,"<span class=""tone2"">楼</span>","<span class=""tone2"">lóu</span><!--lou-->",multi-storied building; floor of a multi-storied building,"<span class=""tone2"">楼</span><span class=""tone4"">上</span>{{c1:: － <span class=""tone2"">lóu</span><span class=""tone4"">shàng</span> － upstairs}}","<span class=""tone2"">楼</span><span class=""tone4"">下</span>{{c1:: － <span class=""tone2"">lóu</span><span class=""tone4"">xià</span> － downstairs}}","<span class=""tone4"">大</span><span class=""tone2"">楼</span>{{c1:: － <span class=""tone4"">dà</span><span class=""tone2"">lóu</span> － large building}}",,,"我家的客厅在阁<span class=""highlight"">楼</span>。",The living room of my home is in the attic.,Wǒ jiā de kètīng zài gélóu.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27004.gif"" alt=""楼""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-0099eb5f-fcb9b022-f06b5dfb-efbe0649-b6cb8cbd.wav,lóu,lóu,Tone 2 ( ́)
437,层,"<span class=""tone2"">层</span>","<span class=""tone2"">céng</span><!--ceng-->",layer; storey; {MW} layer of something,"<span class=""tone1"">一</span><span class=""tone2"">层</span><span class=""tone2"">楼</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone2"">céng</span><span class=""tone2"">lóu</span> － the first floor}}",,,,,"这栋楼有几<span class=""highlight"">层</span>？",How many stories are there in this building?,Zhè dònglóu yǒu jǐ céng?,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23618.gif"" alt=""层""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-923a31a7-219faa16-b06ecdd9-509103ed-b801a0bb.wav,céng,céng,Tone 2 ( ́)
438,室,"<span class=""tone4"">室</span>","<span class=""tone4"">shì</span><!--shi-->",a room,"<span class=""tone4"">教</span><span class=""tone4"">室</span>{{c1:: － <span class=""tone4"">jiào</span><span class=""tone4"">shì</span> － classroom}}","<span class=""tone4"">办</span><span class=""tone1"">公</span><span class=""tone4"">室</span>{{c1:: － <span class=""tone4"">bàn</span><span class=""tone1"">gōng</span><span class=""tone4"">shì</span> － office}}",,,,"浴<span class=""highlight"">室</span>很干净。",The bathroom is very clean.,Yùshì hěn gānjìng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23460.gif"" alt=""室""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-54b33ec5-e8978103-5d606400-a40a4630-883e35bd.wav,shì,shì,Tone 4 ( ̀)
439,屋,"<span class=""tone1"">屋</span>","<span class=""tone1"">wū</span><!--wu-->",room; house; accomodation,"<span class=""tone1"">屋</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone1"">wū</span><span class=""tone5"">zi</span> － room; house}}","<span class=""tone2"">同</span><span class=""tone1"">屋</span>{{c1:: － <span class=""tone2"">tóng</span><span class=""tone1"">wū</span> － roomate}}",,,,"房<span class=""highlight"">屋</span>着火了。",The house is on fire.,Fángwū zháohuǒ le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23627.gif"" alt=""屋""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-29c0cc29-68644518-350c8ae4-0aec7350-a9939f9e.wav,wū,wū,Tone 1 ( ̄)
440,握,"<span class=""tone4"">握</span>","<span class=""tone4"">wò</span><!--wo-->",grasp,"<span class=""tone4"">握</span><span class=""tone3"">手</span>{{c1:: － <span class=""tone4"">wò</span><span class=""tone3"">shǒu</span> － shake hands}}",,,,,"要把<span class=""highlight"">握</span>每次面试的机会。",One must seize the chance of each interview.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25569.gif"" alt=""握""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-cf8bdefc-29297643-246f3c14-30cea27c-4020ea81.wav,wò,wò,Tone 4 ( ̀)
441,提,"<span class=""tone2"">提</span>","<span class=""tone2"">tí</span><!--ti-->",to carry (hanging down from the hand); to lift; to put forward; to mention; to raise (an issue),"<span class=""tone2"">提</span><span class=""tone1"">高</span>{{c1:: － <span class=""tone2"">tí</span><span class=""tone1"">gāo</span> － to increase}}","<span class=""tone3"">手</span><span class=""tone2"">提</span>{{c1:: － <span class=""tone3"">shǒu</span><span class=""tone2"">tí</span> － portable}}",,,,"他在列<span class=""highlight"">提</span>纲。",He's making an outline.,Tā zài liè tígāng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25552.gif"" alt=""提""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-5aefc1fb-c9de0bc1-c9136599-3840e2bf-3f0ee883.wav,tí,tí,Tone 2 ( ́)
442,让,"<span class=""tone4"">让</span>","<span class=""tone4"">ràng</span><!--rang-->",to allow; to let,"<span class=""tone4"">让</span><span class=""tone4"">座</span>{{c1:: － <span class=""tone4"">ràng</span><span class=""tone4"">zuò</span> － invite guests to be seated}}",,,,,"<span class=""highlight"">让</span>我来回答这个问题。",Let me answer this question.,ràng wǒ lái huí dá zhè ge wèn tí 。<!--rang wo lai hui da zhe ge wen ti 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35753.gif"" alt=""让""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-e6b59f83-6b3a588e-95d9871e-b0799536-d1a80786.wav,ràng,ràng,Tone 4 ( ̀)
443,页,"<span class=""tone4"">页</span>","<span class=""tone4"">yè</span><!--ye-->",page,"<span class=""tone4"">上</span><span class=""tone4"">页</span>{{c1:: － <span class=""tone4"">shàng</span><span class=""tone4"">yè</span> － preceding page}}","<span class=""tone3"">首</span><span class=""tone4"">页</span>{{c1:: － <span class=""tone3"">shǒu</span><span class=""tone4"">yè</span> － title page; homepage}}","<span class=""tone3"">网</span><span class=""tone4"">页</span>{{c1:: － <span class=""tone3"">wǎng</span><span class=""tone4"">yè</span> － web page}}",,,"本词典每<span class=""highlight"">页</span>上有两列正文。",Each page of this dictionary has two columns of text.,běn cí diǎn měi yè shàng yǒu liǎng liè zhèng wén 。<!--ben ci dian mei ye shang you liang lie zheng wen 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39029.gif"" alt=""页""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-b7d08399-1cf59c43-086eaf00-b5397edd-56c58c7f.wav,yè,yè,Tone 4 ( ̀)
444,题,"<span class=""tone2"">题</span>","<span class=""tone2"">tí</span><!--ti-->",topic; a subject; the title of a composition,"<span class=""tone4"">问</span><span class=""tone2"">题</span>{{c1:: － <span class=""tone4"">wèn</span><span class=""tone2"">tí</span> － question; problem}}","<span class=""tone2"">题</span><span class=""tone4"">目</span>{{c1:: － <span class=""tone2"">tí</span><span class=""tone4"">mù</span> － exam question}}",,,,"我有个问<span class=""highlight"">题</span>。",I have a question.,wǒ yǒu gè wèn tí 。<!--wo you ge wen ti 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39064.gif"" alt=""题""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-1fb304c3-b20b89c3-dfef0243-a0b1a0dd-07892d51.wav,tí,tí,Tone 2 ( ́)
445,员,"<span class=""tone2"">员</span>","<span class=""tone2"">yuán</span><!--yuan-->",member; employee,"<span class=""tone2"">人</span><span class=""tone2"">员</span>{{c1:: － <span class=""tone2"">rén</span><span class=""tone2"">yuán</span> － staff; personnel}}","<span class=""tone4"">店</span><span class=""tone2"">员</span>{{c1:: － <span class=""tone4"">diàn</span><span class=""tone2"">yuán</span> － shop assistant}}","<span class=""tone2"">服</span><span class=""tone4"">务</span><span class=""tone2"">员</span>{{c1:: － <span class=""tone2"">fú</span><span class=""tone4"">wù</span><span class=""tone2"">yuán</span> － waiter; waitress}}",,,"同事被裁<span class=""highlight"">员</span>了，她幸灾乐祸。",She took delight in seeing her colleagues being laid off.,"Tóngshì bèi cáiyuán le, tā xìngzāi-lèhuò.","<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21592.gif"" alt=""员""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-41c70ab1-4d0983b4-611b522c-4e48e427-3968e102.wav,yuán,yuán,Tone 2 ( ́)
446,圆,"<span class=""tone2"">圆</span>","<span class=""tone2"">yuán</span><!--yuan-->",round,"<span class=""tone2"">圆</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone2"">yuán</span><span class=""tone4"">yuè</span> － full moon}}",,,,,"所有<span class=""highlight"">圆</span>的形状都是相同的 。",All circles have the same shape.,suǒ yǒu yuán de xíng zhuàng dōu shì xiāng tóng de  。<!--suo you yuan de xing zhuang dou shi xiang tong de  。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22278.gif"" alt=""圆""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-e788d25d-9fe7cbd7-7ab33912-ca22d38f-ff34cbd5.wav,yuán,yuán,Tone 2 ( ́)
447,高,"<span class=""tone1"">高</span>","<span class=""tone1"">gāo</span><!--gao-->",tall; high,"<span class=""tone2"">提</span><span class=""tone1"">高</span>{{c1:: － <span class=""tone2"">tí</span><span class=""tone1"">gāo</span> － to increase}}","<span class=""tone1"">高</span><span class=""tone4"">度</span>{{c1:: － <span class=""tone1"">gāo</span><span class=""tone4"">dù</span> － altitude; highly}}",,,,"我比你哥哥<span class=""highlight"">高</span>。",I am taller than your older brother.,wǒ bǐ nǐ gē ge gāo 。<!--wo bi ni ge ge gao 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39640.gif"" alt=""高""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-56cc4db6-a8b95d36-9b55fe65-699877fc-e8a353e7.wav,gāo,gāo,Tone 1 ( ̄)
448,搞,"<span class=""tone3"">搞</span>","<span class=""tone3"">gǎo</span><!--gao-->",engaged in,"<span class=""tone3"">搞</span><span class=""tone3"">好</span>{{c1:: － <span class=""tone3"">gǎo</span><span class=""tone3"">hǎo</span> － make a good job of}}",,,,,"菜<span class=""highlight"">搞</span>好了。",The dish is ready.,Cài gǎohǎo le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25630.gif"" alt=""搞""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-99b40585-79b000cb-eb0c0dec-e0e71555-f3ad201c.wav,gǎo,gǎo,Tone 3 ( ̌)
449,台,"<span class=""tone2"">台</span>","<span class=""tone2"">tái</span><!--tai-->",platform; TV station; {MW} machines,"<span class=""tone2"">平</span><span class=""tone2"">台</span>{{c1:: － <span class=""tone2"">píng</span><span class=""tone2"">tái</span> － platform}}","<span class=""tone3"">舞</span><span class=""tone2"">台</span>{{c1:: － <span class=""tone3"">wǔ</span><span class=""tone2"">tái</span> － stage}}","<span class=""tone2"">台</span><span class=""tone2"">球</span>{{c1:: － <span class=""tone2"">tái</span><span class=""tone2"">qiú</span> － biliards}}",,,"大家在月<span class=""highlight"">台</span>上等候上车。",Everyone's waiting on the platform to board the train.,Dàjiā zài yuètái shàng děnghòu shàngchē.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21488.gif"" alt=""台""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-84621b17-0269a97c-a484e4e9-ca427f5a-5e118f0f.wav,tái,tái,Tone 2 ( ́)
450,治,"<span class=""tone4"">治</span>","<span class=""tone4"">zhì</span><!--zhi-->",govern; administer; treat; cure,"<span class=""tone4"">政</span><span class=""tone4"">治</span>{{c1:: － <span class=""tone4"">zhèng</span><span class=""tone4"">zhì</span> － politics}}","<span class=""tone4"">治</span><span class=""tone4"">病</span>{{c1:: － <span class=""tone4"">zhì</span><span class=""tone4"">bìng</span> － to treat an illness}}","<span class=""tone4"">治</span><span class=""tone3"">好</span>{{c1:: － <span class=""tone4"">zhì</span><span class=""tone3"">hǎo</span> － cure a disease}}","<span class=""tone4"">自</span><span class=""tone4"">治</span>{{c1:: － <span class=""tone4"">zì</span><span class=""tone4"">zhì</span> － autonomy}}",,"爱滋病迄今还无法<span class=""highlight"">治</span>愈。","So far, AIDS remains incurable.",Àizībìng qìjīn hái wúfǎ zhìyù.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27835.gif"" alt=""治""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-4f71558b-6a141a30-762122eb-235a67cb-827344c2.wav,zhì,zhì,Tone 4 ( ̀)
451,抬,"<span class=""tone2"">抬</span>","<span class=""tone2"">tái</span><!--tai-->",to raise,"<span class=""tone2"">抬</span><span class=""tone1"">高</span>{{c1:: － <span class=""tone2"">tái</span><span class=""tone1"">gāo</span> － to raise prices}}",,,,,"他们把柜子<span class=""highlight"">抬</span>上车。",They are carrying/moving the cabinet onto the vehicle.,Tāmen bǎ guìzi táishàng chē.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25260.gif"" alt=""抬""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-6e8e11e9-d021cd64-9ab8bbe5-0c231a7e-fd726a1d.wav,tái,tái,Tone 2 ( ́)
452,始,"<span class=""tone3"">始</span>","<span class=""tone3"">shǐ</span><!--shi-->",to begin; to start; the beginning,"<span class=""tone1"">开</span><span class=""tone3"">始</span>{{c1:: － <span class=""tone1"">kāi</span><span class=""tone3"">shǐ</span> － to start; beginning}}",,,,,"比赛开<span class=""highlight"">始</span>了。",The game has begun.,Bǐsài kāishǐ le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22987.gif"" alt=""始""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-0648c630-bbdc1d8f-afcfe09b-892abb2e-3f96539e.wav,shǐ,shǐ,Tone 3 ( ̌)
453,容,"<span class=""tone2"">容</span>","<span class=""tone2"">róng</span><!--rong-->",to hold; to contain; to allow; to tolerate; capacity,"<span class=""tone4"">内</span><span class=""tone2"">容</span>{{c1:: － <span class=""tone4"">nèi</span><span class=""tone2"">róng</span> － contents; substance}}","<span class=""tone2"">容</span><span class=""tone3"">忍</span>{{c1:: － <span class=""tone2"">róng</span><span class=""tone3"">rěn</span> － broad minded}}","<span class=""tone2"">容</span><span class=""tone4"">易</span>{{c1:: － <span class=""tone2"">róng</span><span class=""tone4"">yì</span> － easy}}",,,"民众<span class=""highlight"">容</span>易被舆论影响。",People are easily influenced by public opinion.,Mínzhòng róngyì bèi yúlùn yǐngxiǎng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23481.gif"" alt=""容""style=""width:75px;height:75px;""/>",26 CharSet,data/sounds/oddcast-fe0944c3-6ea2a0d5-c4adffa2-c301fc24-77767e67.wav,róng,róng,Tone 2 ( ́)
454,志,"<span class=""tone4"">志</span>","<span class=""tone4"">zhì</span><!--zhi-->",to record; written record; intention,"<span class=""tone2"">同</span><span class=""tone4"">志</span>{{c1:: － <span class=""tone2"">tóng</span><span class=""tone4"">zhì</span> － comrade}}","<span class=""tone4"">意</span><span class=""tone4"">志</span>{{c1:: － <span class=""tone4"">yì</span><span class=""tone4"">zhì</span> － the human will}}","<span class=""tone1"">标</span><span class=""tone4"">志</span>{{c1:: － <span class=""tone1"">biāo</span><span class=""tone4"">zhì</span> － sign; symbol}}",,,"困难能磨练我们的意<span class=""highlight"">志</span>。",Difficulties can temper our willpower.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24535.gif"" alt=""志""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-defe931a-d99802e9-02a705b4-f6766679-654539e3.wav,zhì,zhì,Tone 4 ( ̀)
455,声,"<span class=""tone1"">声</span>","<span class=""tone1"">shēng</span><!--sheng-->",voice; tone; sound,"<span class=""tone4"">大</span><span class=""tone1"">声</span>{{c1:: － <span class=""tone4"">dà</span><span class=""tone1"">shēng</span> － in a loud voice}}","<span class=""tone1"">声</span><span class=""tone1"">音</span>{{c1:: － <span class=""tone1"">shēng</span><span class=""tone1"">yīn</span> － voice; sound of voices}}",,,,"游行的队伍<span class=""highlight"">声</span>势浩大。",The demonstration was massive.,Yóuxíng de duìwǔ shēngshì hàodà.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22768.gif"" alt=""声""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-553713a3-31af1e70-8427bb56-24de982d-39fc0ff8.wav,shēng,shēng,Tone 1 ( ̄)
456,装,"<span class=""tone1"">装</span>","<span class=""tone1"">zhuāng</span><!--zhuang-->",to play a role; to pretend; to install; to fix,"<span class=""tone1"">安</span><span class=""tone1"">装</span>{{c1:: － <span class=""tone1"">ān</span><span class=""tone1"">zhuāng</span> － to install}}","<span class=""tone1"">装</span><span class=""tone4"">样</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone1"">zhuāng</span><span class=""tone4"">yàng</span><span class=""tone5"">zi</span> － put on an act; do for appearance sake}}","<span class=""tone1"">西</span><span class=""tone1"">装</span>{{c1:: － <span class=""tone1"">xī</span><span class=""tone1"">zhuāng</span> － western style suit}}",,,"办公室里安<span class=""highlight"">装</span>了电话。",A phone has been installed in the office.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35013.gif"" alt=""装""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-0a0d746c-f315e519-ff99106b-f151a8e2-d9c2e95f.wav,zhuāng,zhuāng,Tone 1 ( ̄)
457,知,"<span class=""tone1"">知</span>","<span class=""tone1"">zhī</span><!--zhi-->",to know,"<span class=""tone1"">知</span><span class=""tone4"">道</span>{{c1:: － <span class=""tone1"">zhī</span><span class=""tone4"">dào</span> － to know}}","<span class=""tone1"">知</span><span class=""tone5"">识</span>{{c1:: － <span class=""tone1"">zhī</span><span class=""tone5"">shi</span> － knowledge}}",,,,"他不<span class=""highlight"">知</span>如何解决难题。",He doesn't know how to solve this problem.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30693.gif"" alt=""知""style=""width:75px;height:75px;""/>",27 CharSet,data/sounds/oddcast-ed186afe-5273cf5e-c88623bc-7e9787fd-49fa7cb1.wav,zhī,zhī,Tone 1 ( ̄)
