一	"<span class=""tone1"">一</span>"	"<span class=""tone1"">yī</span><!--yi-->"	one	"<span class=""tone1"">一</span><span class=""tone4"">个</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">gè</span> － one of}}"	"<span class=""tone1"">一</span><span class=""tone3"">本</span><span class=""tone1"">书</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">běn</span><span class=""tone1"">shū</span> － a book}}"	"<span class=""tone1"">一</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">cì</span> － once}}"	"<span class=""tone4"">第</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone1"">yī</span> － first}}"		"<span class=""highlight"">一</span>二三。"	One two three.	yī èr sān 。<!--yi er san 。-->	[sound:oddcast-6401d539-04374423-203ccc64-a4a3e1fb-79a85831.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19968.gif"" alt=""一"" style=""width:75px;height:75px;"">"	1 CharSet
将	"<span class=""tone1"">将</span>"	"<span class=""tone1"">jiāng</span><!--jiang-->"	be about to; will (future); will; 把 (in reading)	"<span class=""tone1"">将</span><span class=""tone2"">来</span>{{c1:: － <span class=""tone1"">jiāng</span><span class=""tone2"">lái</span> － (in the) future}}"	"<span class=""tone1"">将</span><span class=""tone4"">要</span>{{c1:: － <span class=""tone1"">jiāng</span><span class=""tone4"">yào</span> － about to; going to}}"				"台风<span class=""highlight"">将</span>于明晨登陆。"	The typhoon with land tomorrow morning.		[sound:oddcast-dda91adc-f65eebce-180db113-7eedb26c-322e59cb.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23558.gif"" alt=""将""style=""width:75px;height:75px;""/>"	19 CharSet
东	"<span class=""tone1"">东</span>"	"<span class=""tone1"">dōng</span><!--dong-->"	east	"<span class=""tone1"">东</span><span class=""tone5"">边</span>{{c1:: － <span class=""tone1"">dōng</span><span class=""tone5"">bian</span> － east side}}"	"<span class=""tone1"">东</span><span class=""tone5"">西</span>{{c1:: － <span class=""tone1"">dōng</span><span class=""tone5"">xi</span> － things (physical)}}"	"<span class=""tone1"">东</span><span class=""tone3"">北</span>{{c1:: － <span class=""tone1"">dōng</span><span class=""tone3"">běi</span> － northeast}}"	"<span class=""tone1"">东</span><span class=""tone1"">方</span>{{c1:: － <span class=""tone1"">dōng</span><span class=""tone1"">fāng</span> － the East (Orient)}}"		"我刷卡买<span class=""highlight"">东</span>西。"	I use a credit card to purchase things.	Wǒ shuākǎ mǎi dōngxi.	[sound:oddcast-72458c0f-661fb1d2-ed26e88e-7b5d7c60-2471d698.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19996.gif"" alt=""东"" style=""width:75px;height:75px;"">"	19 CharSet
乐	"<span class=""tone4"">乐</span> / <span class=""tone4"">乐</span>"	"<span class=""tone4"">yuè</span> / <span class=""tone4"">lè</span><!--yue-->"	music / happy; cheerful	"<span class=""tone1"">音</span><span class=""tone4"">乐</span>{{c1:: － <span class=""tone1"">yīn</span><span class=""tone4"">yuè</span> － music}}"	"<span class=""tone4"">快</span><span class=""tone4"">乐</span>{{c1:: － <span class=""tone4"">kuài</span><span class=""tone4"">lè</span> － happy}}"				"新年快<span class=""highlight"">乐</span>！"	Happy New Year!	Xīnnián kuàilè!	[sound:oddcast-b4ff7827-6214cb01-31995c73-69a35ca4-28ce3e8c.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20048.gif"" alt=""乐"" style=""width:75px;height:75px;"">"	19 CharSet
算	"<span class=""tone4"">算</span>"	"<span class=""tone4"">suàn</span><!--suan-->"	to count; calculate; compute; reckon	"<span class=""tone3"">打</span><span class=""tone4"">算</span>{{c1:: － <span class=""tone3"">dǎ</span><span class=""tone4"">suàn</span> － plan; intend}}"	"<span class=""tone4"">算</span><span class=""tone4"">是</span>{{c1:: － <span class=""tone4"">suàn</span><span class=""tone4"">shì</span> － condisdered to be}}"	"<span class=""tone4"">算</span><span class=""tone5"">了</span>{{c1:: － <span class=""tone4"">suàn</span><span class=""tone5"">le</span> － nevermind}}"	"<span class=""tone4"">预</span><span class=""tone4"">算</span>{{c1:: － <span class=""tone4"">yù</span><span class=""tone4"">suàn</span> － budget}}"		"他在<span class=""highlight"">算</span>数学。"	He is doing math.	tā zài suàn shù xué 。<!--ta zai suan shu xue 。-->	[sound:oddcast-b3bf5221-238154ec-85bc6094-8b0aa704-ea45b0a7.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31639.gif"" alt=""算""style=""width:75px;height:75px;""/>"	19 CharSet
第	"<span class=""tone4"">第</span>"	"<span class=""tone4"">dì</span><!--di-->"	article; number	"<span class=""tone4"">第</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone1"">yī</span> － first}}"					"服务的宗旨是顾客<span class=""highlight"">第</span>一。"	"The motto of the service industry is ""the customer comes first""."	Fúwù de zōngzhǐ shì gùkè dì-yī.	[sound:oddcast-8d38e0d7-cf341e8b-4589cb53-0f48be2a-a9cb0fe2.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31532.gif"" alt=""第""style=""width:75px;height:75px;""/>"	19 CharSet
弟	"<span class=""tone4"">弟</span>"	"<span class=""tone4"">dì</span><!--di-->"	younger brother	"<span class=""tone4"">弟</span><span class=""tone5"">弟</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone5"">di</span> － younger brother}}"	"<span class=""tone4"">弟</span><span class=""tone5"">兄</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone5"">xiong</span> － brothers}}"	"<span class=""tone2"">徒</span><span class=""tone4"">弟</span>{{c1:: － <span class=""tone2"">tú</span><span class=""tone4"">dì</span> － apprentice}}"			"三<span class=""highlight"">弟</span>今年刚进中学。"	My third youngest brother has just started middle school.	sān dì jīn nián gāng jìn zhōng xué 。<!--san di jin nian gang jin zhong xue 。-->	[sound:oddcast-2b29f457-42685cb9-090e149f-84fedc64-9e736ed6.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24351.gif"" alt=""弟""style=""width:75px;height:75px;""/>"	19 CharSet
劳	"<span class=""tone2"">劳</span>"	"<span class=""tone2"">láo</span><!--lao-->"	toil	"<span class=""tone2"">劳</span><span class=""tone4"">动</span>{{c1:: － <span class=""tone2"">láo</span><span class=""tone4"">dòng</span> － to do manual labor}}"	"<span class=""tone2"">劳</span><span class=""tone1"">工</span>{{c1:: － <span class=""tone2"">láo</span><span class=""tone1"">gōng</span> － labor}}"				"五月一日是国际<span class=""highlight"">劳</span>动节 。"	The first of May is International Labour Day.	wǔ yuè yī rì shì guó jì láo dòng jié  。<!--wu yue yi ri shi guo ji lao dong jie  。-->	[sound:oddcast-6d7dc63f-5a5fc5cb-13cbb6df-d0bfdd84-a401eb55.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21171.gif"" alt=""劳""style=""width:75px;height:75px;""/>"	19 CharSet
加	"<span class=""tone1"">加</span>"	"<span class=""tone1"">jiā</span><!--jia-->"	add; plus	"<span class=""tone1"">加</span><span class=""tone3"">以</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone3"">yǐ</span> － moreover; ought to}}"	"<span class=""tone1"">加</span><span class=""tone1"">工</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone1"">gōng</span> － to process (unfinished products)}}"	"<span class=""tone1"">加</span><span class=""tone2"">油</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone2"">yóu</span> － encouragment phrase}}"			"他在给汽车<span class=""highlight"">加</span>油。"	He's filling the tank with gas.	Tā zài gěi qìchē jiāyóu.	[sound:oddcast-b94a2fd4-4b3be6d7-4670a281-18235356-7c1cae40.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21152.gif"" alt=""加""style=""width:75px;height:75px;""/>"	19 CharSet
驾	"<span class=""tone4"">驾</span>"	"<span class=""tone4"">jià</span><!--jia-->"	drive a vehicle	"<span class=""tone2"">劳</span><span class=""tone4"">驾</span>{{c1:: － <span class=""tone2"">láo</span><span class=""tone4"">jià</span> － may I trouble you?}}"					"我们<span class=""highlight"">驾</span>车去旅游。"	We're going on a driving trip.	Wǒmen jiàchē qù lǚyóu.	[sound:oddcast-eb939e16-47665690-9b248e7b-9f3c9525-72d0aa8c.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39550.gif"" alt=""驾""style=""width:75px;height:75px;""/>"	19 CharSet
咖	"<span class=""tone1"">咖</span>"	"<span class=""tone1"">kā</span><!--ka-->"	first half of coffee	"<span class=""tone1"">咖</span><span class=""tone1"">啡</span>{{c1:: － <span class=""tone1"">kā</span><span class=""tone1"">fēi</span> － coffee}}"					"谁把我的<span class=""highlight"">咖</span>啡喝了？"	Who drank my coffee?		[sound:oddcast-893d6383-64a02015-be5b61f8-cfbb14b4-1dfa83ba.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21654.gif"" alt=""咖""style=""width:75px;height:75px;""/>"	19 CharSet
非	"<span class=""tone1"">非</span>"	"<span class=""tone1"">fēi</span><!--fei-->"	not; no; un-	"<span class=""tone1"">非</span><span class=""tone3"">法</span>{{c1:: － <span class=""tone1"">fēi</span><span class=""tone3"">fǎ</span> － illegal}}"	"<span class=""tone1"">非</span><span class=""tone2"">常</span><span class=""tone3"">好</span>{{c1:: － <span class=""tone1"">fēi</span><span class=""tone2"">cháng</span><span class=""tone3"">hǎo</span> － very good}}"				"水坝<span class=""highlight"">非</span>常坚固。"	The dam is very strong.	Shuǐbà fēicháng jiāngù.	[sound:oddcast-fc84e4cd-8aa6f728-2a94543b-c80858fc-c7adc849.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38750.gif"" alt=""非""style=""width:75px;height:75px;""/>"	19 CharSet
啡	"<span class=""tone1"">啡</span>"	"<span class=""tone1"">fēi</span><!--fei-->"	second half of coffee	"<span class=""tone1"">咖</span><span class=""tone1"">啡</span>{{c1:: － <span class=""tone1"">kā</span><span class=""tone1"">fēi</span> － coffee}}"					"附近有一家咖<span class=""highlight"">啡</span>馆。"	There's a café nearby.	Fùjìn yǒu yī jiā kāfēiguǎn.	[sound:oddcast-c8a64add-d13a6ea5-c3398dd3-0958431e-49dc5d4d.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21857.gif"" alt=""啡""style=""width:75px;height:75px;""/>"	19 CharSet
排	"<span class=""tone2"">排</span>"	"<span class=""tone2"">pái</span><!--pai-->"	line	"<span class=""tone1"">安</span><span class=""tone2"">排</span>{{c1:: － <span class=""tone1"">ān</span><span class=""tone2"">pái</span> － arrange}}"	"<span class=""tone2"">排</span><span class=""tone2"">除</span>{{c1:: － <span class=""tone2"">pái</span><span class=""tone2"">chú</span> － to eliminate; to rule out}}"	"<span class=""tone2"">排</span><span class=""tone3"">水</span>{{c1:: － <span class=""tone2"">pái</span><span class=""tone3"">shuǐ</span> － to drain}}"	"<span class=""tone1"">一</span><span class=""tone2"">排</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone2"">pái</span> － row}}"		"一艘船<span class=""highlight"">排</span>除某一定量的水 。"	A ship displaces a certain amount of water.	yī sōu chuán pái chú mǒu yī dìng liàng de shuǐ  。<!--yi sou chuan pai chu mou yi ding liang de shui  。-->	[sound:oddcast-30cf897f-d4301688-8d37d0df-d63a5ef8-a7bc9929.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25490.gif"" alt=""排""style=""width:75px;height:75px;""/>"	19 CharSet
反	"<span class=""tone3"">反</span>"	"<span class=""tone3"">fǎn</span><!--fan-->"	oppose	"<span class=""tone3"">反</span><span class=""tone4"">对</span>{{c1:: － <span class=""tone3"">fǎn</span><span class=""tone4"">duì</span> － oppose; object to}}"	"<span class=""tone3"">反</span><span class=""tone4"">动</span>{{c1:: － <span class=""tone3"">fǎn</span><span class=""tone4"">dòng</span> － reactionary}}"				"他是个<span class=""highlight"">反</span>传统的人。"	He's an unconventional man.	Tā shì gè fǎn chuántǒng de rén.	[sound:oddcast-fa5978e1-8dc29b73-2c86dffa-cb72f654-36116cba.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21453.gif"" alt=""反""style=""width:75px;height:75px;""/>"	20 CharSet
饭	"<span class=""tone4"">饭</span>"	"<span class=""tone4"">fàn</span><!--fan-->"	meal	"<span class=""tone3"">午</span><span class=""tone4"">饭</span>{{c1:: － <span class=""tone3"">wǔ</span><span class=""tone4"">fàn</span> － lunch}}"	"<span class=""tone4"">饭</span><span class=""tone4"">店</span>{{c1:: － <span class=""tone4"">fàn</span><span class=""tone4"">diàn</span> － hotel; restaurant}}"				"<span class=""highlight"">饭</span>前，洗手。"	Before meals, wash your hands.	fàn qián ， xǐ shǒu 。<!--fan qian ， xi shou 。-->	[sound:oddcast-d6f09a59-6c82948c-acb6fe2e-a07c7315-861ada63.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39277.gif"" alt=""饭""style=""width:75px;height:75px;""/>"	20 CharSet
板	"<span class=""tone3"">板</span>"	"<span class=""tone3"">bǎn</span><!--ban-->"	board	"<span class=""tone3"">老</span><span class=""tone3"">板</span>{{c1:: － <span class=""tone3"">lǎo</span><span class=""tone3"">bǎn</span> － boss; proprietor}}"					"木<span class=""highlight"">板</span>宽27毫米。"	The board is 27 millimeters wide.	Mùbǎn kuān èrshí qī háomǐ.	[sound:oddcast-d57e1ad3-95f3a4be-dda704c9-d5ae49dd-9040e32c.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26495.gif"" alt=""板""style=""width:75px;height:75px;""/>"	20 CharSet
米	"<span class=""tone3"">米</span>"	"<span class=""tone3"">mǐ</span><!--mi-->"	rice	"<span class=""tone4"">大</span><span class=""tone3"">米</span>{{c1:: － <span class=""tone4"">dà</span><span class=""tone3"">mǐ</span> － rice}}"	"<span class=""tone3"">米</span><span class=""tone4"">饭</span>{{c1:: － <span class=""tone3"">mǐ</span><span class=""tone4"">fàn</span> － cooked rice}}"				"你又长高了一厘<span class=""highlight"">米</span>。"	You've grown one centimenter taller.	Nǐ yòu zhǎnggāole yī límǐ.	[sound:oddcast-c684a41d-d9c90507-ed549112-0705acc6-80c375fb.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31859.gif"" alt=""米""style=""width:75px;height:75px;""/>"	20 CharSet
青	"<span class=""tone1"">青</span>"	"<span class=""tone1"">qīng</span><!--qing-->"	young; green	"<span class=""tone1"">青</span><span class=""tone2"">年</span>{{c1:: － <span class=""tone1"">qīng</span><span class=""tone2"">nián</span> － a youth}}"	"<span class=""tone2"">年</span><span class=""tone1"">青</span>{{c1:: － <span class=""tone2"">nián</span><span class=""tone1"">qīng</span> － young}}"				"公园里有一片<span class=""highlight"">青</span>草地。"	There's a large stretch of grass in the park.	Gōngyuán lǐ yǒu yī piàn qīng cǎodì.	[sound:oddcast-d8ca8778-50093075-55d3f4c1-956edad3-9a54e1ea.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38738.gif"" alt=""青""style=""width:75px;height:75px;""/>"	20 CharSet
请	"<span class=""tone3"">请</span>"	"<span class=""tone3"">qǐng</span><!--qing-->"	please; to request; to invite; to treat	"<span class=""tone3"">请</span><span class=""tone4"">问</span>{{c1:: － <span class=""tone3"">qǐng</span><span class=""tone4"">wèn</span> － excuse me, ...}}"	"<span class=""tone3"">请</span><span class=""tone4"">进</span><span class=""tone2"">来</span>{{c1:: － <span class=""tone3"">qǐng</span><span class=""tone4"">jìn</span><span class=""tone2"">lái</span> － please come in}}"	"<span class=""tone3"">请</span><span class=""tone4"">教</span>{{c1:: － <span class=""tone3"">qǐng</span><span class=""tone4"">jiào</span> － to seek advice}}"			"<span class=""highlight"">请</span>安静。"	Please be quiet.	qǐng ān jìng 。<!--qing an jing 。-->	[sound:oddcast-b7a26175-a8bc80fc-03bd18a8-52d5a4cc-115ef8a6.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35831.gif"" alt=""请""style=""width:75px;height:75px;""/>"	20 CharSet
清	"<span class=""tone2"">清</span>"	"<span class=""tone2"">qíng</span><!--qing-->"	transparent	"<span class=""tone1"">清</span><span class=""tone3"">理</span>{{c1:: － <span class=""tone1"">qīng</span><span class=""tone3"">lǐ</span> － to put in order; to sort out}}"					"他的发言逻辑<span class=""highlight"">清</span>晰。"	The logic of his speech is clear.	Tā de fāyán luóji qīngxī.	[sound:oddcast-1074c93c-adbf68a1-b62f0a07-a0cad3c5-047888d8.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/28165.gif"" alt=""清""style=""width:75px;height:75px;""/>"	20 CharSet
晴	"<span class=""tone2"">晴</span>"	"<span class=""tone2"">qíng</span><!--qing-->"	fine weather	"<span class=""tone2"">晴</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone2"">qíng</span><span class=""tone1"">tiān</span> － a sunny day}}"					"今天是<span class=""highlight"">晴</span>天。"	It's sunny today.	Jīntiān shì qíngtiān.	[sound:oddcast-a2731ed8-0dbca76b-4b68e8be-127039c5-ef82208d.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26228.gif"" alt=""晴""style=""width:75px;height:75px;""/>"	20 CharSet
情	"<span class=""tone2"">情</span>"	"<span class=""tone2"">qíng</span><!--qing-->"	feeling; affection; love; situation	"<span class=""tone4"">事</span><span class=""tone5"">情</span>{{c1:: － <span class=""tone4"">shì</span><span class=""tone5"">qing</span> － affair; matter}}"	"<span class=""tone2"">同</span><span class=""tone2"">情</span>{{c1:: － <span class=""tone2"">tóng</span><span class=""tone2"">qíng</span> － sympathy}}"	"<span class=""tone1"">心</span><span class=""tone2"">情</span>{{c1:: － <span class=""tone1"">xīn</span><span class=""tone2"">qíng</span> － mood; state of mind}}"			"孩子露出仇视的表<span class=""highlight"">情</span>。"	A look of hostility came across the child's face.	Háizi lùchu chóushì de biǎoqíng.	[sound:oddcast-de2cd09b-e04fdf5e-faa77273-b74ceefa-8c131f07.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24773.gif"" alt=""情""style=""width:75px;height:75px;""/>"	20 CharSet
睛	"<span class=""tone1"">睛</span>"	"<span class=""tone1"">jīng</span><!--jing-->"	pupil (of the eye)	"<span class=""tone3"">眼</span><span class=""tone5"">睛</span>{{c1:: － <span class=""tone3"">yǎn</span><span class=""tone5"">jing</span> － eye}}"					"她的眼<span class=""highlight"">睛</span>很漂亮。"	Her eyes are beautiful.	Tāde yǎnjing hěn piàoliang.	[sound:oddcast-f3a6021b-83570de9-d854766e-797c5e83-fc88b27f.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30555.gif"" alt=""睛""style=""width:75px;height:75px;""/>"	20 CharSet
精	"<span class=""tone1"">精</span>"	"<span class=""tone1"">jīng</span><!--jing-->"	splendid	"<span class=""tone1"">精</span><span class=""tone4"">力</span>{{c1:: － <span class=""tone1"">jīng</span><span class=""tone4"">lì</span> － energy}}"	"<span class=""tone1"">精</span><span class=""tone3"">彩</span>{{c1:: － <span class=""tone1"">jīng</span><span class=""tone3"">cǎi</span> － wonderful}}"	"<span class=""tone1"">精</span><span class=""tone1"">心</span>{{c1:: － <span class=""tone1"">jīng</span><span class=""tone1"">xīn</span> － elaborately}}"			"他<span class=""highlight"">精</span>力充沛。"	He's full of energy.	tā jīnglìchōngpèi.	[sound:oddcast-ada8b902-238a1f52-93407fe2-0d25f409-839d3a73.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31934.gif"" alt=""精""style=""width:75px;height:75px;""/>"	20 CharSet
亮	"<span class=""tone4"">亮</span>"	"<span class=""tone4"">liàng</span><!--liang-->"	shining	"<span class=""tone4"">月</span><span class=""tone5"">亮</span>{{c1:: － <span class=""tone4"">yuè</span><span class=""tone5"">liang</span> － the moon}}"	"<span class=""tone4"">漂</span><span class=""tone5"">亮</span>{{c1:: － <span class=""tone4"">piào</span><span class=""tone5"">liang</span> － pretty}}"	"<span class=""tone2"">明</span><span class=""tone4"">亮</span>{{c1:: － <span class=""tone2"">míng</span><span class=""tone4"">liàng</span> － bright; shining}}"			"他的庭院很漂<span class=""highlight"">亮</span>。"	His yard is very beautiful.	tā de tíngyuàn hěn piàoliang.	[sound:oddcast-1b2c1c8e-97a11a61-5084133e-6f78bd2b-9278cb18.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20142.gif"" alt=""亮"" style=""width:75px;height:75px;"">"	20 CharSet
停	"<span class=""tone2"">停</span>"	"<span class=""tone2"">tíng</span><!--ting-->"	halt; stop; park	"<span class=""tone2"">停</span><span class=""tone3"">止</span>{{c1:: － <span class=""tone2"">tíng</span><span class=""tone3"">zhǐ</span> － stop}}"	"<span class=""tone2"">停</span><span class=""tone1"">车</span>{{c1:: － <span class=""tone2"">tíng</span><span class=""tone1"">chē</span> － parking}}"	"<span class=""tone2"">停</span><span class=""tone3"">产</span>{{c1:: － <span class=""tone2"">tíng</span><span class=""tone3"">chǎn</span> － stop production}}"			"雨<span class=""highlight"">停</span>了。"	The rain has stopped.	Yǔ tíng le.	[sound:oddcast-e77b7117-a4e3f9c3-e6546b21-67a777e2-fcda70ff.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20572.gif"" alt=""停""style=""width:75px;height:75px;""/>"	20 CharSet
单	"<span class=""tone1"">单</span>"	"<span class=""tone1"">dān</span><!--dan-->"	one; single; simple	"<span class=""tone1"">单</span><span class=""tone4"">位</span>{{c1:: － <span class=""tone1"">dān</span><span class=""tone4"">wèi</span> － work unit}}"	"<span class=""tone1"">单</span><span class=""tone2"">词</span>{{c1:: － <span class=""tone1"">dān</span><span class=""tone2"">cí</span> － a word}}"	"<span class=""tone1"">单</span><span class=""tone2"">人</span><span class=""tone2"">床</span>{{c1:: － <span class=""tone1"">dān</span><span class=""tone2"">rén</span><span class=""tone2"">chuáng</span> － single bed}}"			"她在记<span class=""highlight"">单</span>词。"	She's memorizing vocabulary words.	Tā zài jì dāncí.	[sound:oddcast-def737e0-a942b1c4-1b57c208-735b5bda-b9ab6692.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21333.gif"" alt=""单""style=""width:75px;height:75px;""/>"	20 CharSet
间	"<span class=""tone1"">间</span>"	"<span class=""tone1"">jiān</span><!--jian-->"	between; among; room	"<span class=""tone2"">房</span><span class=""tone1"">间</span>{{c1:: － <span class=""tone2"">fáng</span><span class=""tone1"">jiān</span> － a room}}"	"<span class=""tone1"">中</span><span class=""tone1"">间</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone1"">jiān</span> － center; among}}"	"<span class=""tone2"">时</span><span class=""tone1"">间</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone1"">jiān</span> － a period of time}}"	"AB <span class=""tone1"">之</span><span class=""tone1"">间</span>{{c1:: － AB <span class=""tone1"">zhī</span><span class=""tone1"">jiān</span> － between A and B}}"	"<span class=""tone3"">洗</span><span class=""tone3"">手</span><span class=""tone1"">间</span>{{c1:: － <span class=""tone3"">xǐ</span><span class=""tone3"">shǒu</span><span class=""tone1"">jiān</span> － washroom; toilet}}"	"幽暗的房<span class=""highlight"">间</span>里空无一人。"	Nobody is in the dark room.	Yōu'àn de fángjiān lǐ kōng wú yī rén.	[sound:oddcast-467f3b53-5e6b86dc-b79e11cc-47f54b32-0945be29.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38388.gif"" alt=""间""style=""width:75px;height:75px;""/>"	20 CharSet
简	"<span class=""tone3"">简</span>"	"<span class=""tone3"">jiǎn</span><!--jian-->"	simple	"<span class=""tone3"">简</span><span class=""tone1"">单</span>{{c1:: － <span class=""tone3"">jiǎn</span><span class=""tone1"">dān</span> － simple}}"					"蜀是四川的<span class=""highlight"">简</span>称。"	Shu is the abbreviation for Sichuan.	Shǔ shì Sìchuān de jiǎnchēng.	[sound:oddcast-bbb9970c-77377d92-054ad06c-f5d33c9d-0ab2033f.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31616.gif"" alt=""简""style=""width:75px;height:75px;""/>"	20 CharSet
合	"<span class=""tone2"">合</span>"	"<span class=""tone2"">hé</span><!--he-->"	join together; combine; suitable	"<span class=""tone2"">合</span><span class=""tone3"">理</span>{{c1:: － <span class=""tone2"">hé</span><span class=""tone3"">lǐ</span> － logical; reasonable}}"	"<span class=""tone2"">合</span><span class=""tone4"">作</span>{{c1:: － <span class=""tone2"">hé</span><span class=""tone4"">zuò</span> － co-operation}}"	"<span class=""tone2"">合</span><span class=""tone5"">同</span>{{c1:: －agreement; contract}}"	"<span class=""tone2"">合</span><span class=""tone4"">适</span>{{c1:: － <span class=""tone2"">hé</span><span class=""tone4"">shì</span> － suitable}}"		"太极运动适<span class=""highlight"">合</span>老年人。"	Tai Chi exercises are appropriate for the elderly.	Tàijí yùndòng shìhé lǎoniánrén.	[sound:oddcast-e671b134-7b535df3-04ea0d05-fee21913-da4fdc99.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21512.gif"" alt=""合""style=""width:75px;height:75px;""/>"	20 CharSet
拿	"<span class=""tone2"">拿</span>"	"<span class=""tone2"">ná</span><!--na-->"	to take; to hold in one's hand; to use	"<span class=""tone2"">拿</span><span class=""tone4"">去</span>{{c1:: － <span class=""tone2"">ná</span><span class=""tone4"">qù</span> － to take away}}"					"士兵们<span class=""highlight"">拿</span>着长矛。"	The soldiers are holding long spears.	Shìbīngmen názhe chángmáo.	[sound:oddcast-3042c777-0bdb6756-1af09a18-e5ae031a-9602ce23.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25343.gif"" alt=""拿""style=""width:75px;height:75px;""/>"	20 CharSet
拾	"<span class=""tone2"">拾</span>"	"<span class=""tone2"">shí</span><!--shi-->"	to pick up; to collect/arrange; ten (finance)	"<span class=""tone1"">收</span><span class=""tone5"">拾</span>{{c1:: － <span class=""tone1"">shōu</span><span class=""tone5"">shi</span> － put in order; tidy up}}"	"<span class=""tone2"">拾</span><span class=""tone1"">掇</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone1"">duō</span> － put in order; tidy up}}"				"他跪下<span class=""highlight"">拾</span>帽子 。"	He knelt down to pick up his hat.	tā guì xia shí mào zi  。<!--ta gui xia shi mao zi  。-->	[sound:oddcast-a96ae5b8-34ac6c62-0abd9e25-f574e1b4-1c0de7d2.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25342.gif"" alt=""拾""style=""width:75px;height:75px;""/>"	20 CharSet
哈	"<span class=""tone1"">哈</span>"	"<span class=""tone1"">hā</span><!--ha-->"	laugh	"<span class=""tone1"">哈</span><span class=""tone1"">哈</span>{{c1:: －(sound of laughter)}}"					"<span class=""highlight"">哈</span><span class=""highlight"">哈</span> ！纸 在 我 的 手里 。"	Ha Ha! The paper is in my hand.		[sound:oddcast-e61045b8-2bfd24f5-e2ee64eb-c510f171-74ded3b4.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21704.gif"" alt=""哈""style=""width:75px;height:75px;""/>"	20 CharSet
